bed_count,zip_cod,ccn,medicare_medicaid_eligible
76,32308,103033,True
90,32901,103034,True
70,33770,103037,True
60,33189,103038,True
75,32405,103040,True
80,34613,103042,True
80,34471,103043,True
80,34997,103044,True
50,32714,103045,True
60,32608,103046,True
50,33548,103047,True
40,32504,103048,True
40,32084,103049,True
50,33803,103050,True
259,33701,103300,True
95,32827,103304,True
1138,32063,104007,True
56,32808,104067,True
75,33543,104075,True
0,33601,109801,True
0,32803,109802,True
0,32610,109803,True
0,33136,109804,True
0,32224,109806,True
0,32114,109807,True
0,33021,109810,True
0,33331,109811,True
0,33770,109812,True
0,32504,109813,True
237,31501,110003,True
78,30041,110005,True
691,31703,110007,True
84,30115,110008,True
182,30117,110011,True
40,30180,110015,True
276,30240,110016,True
90,30014,110018,True
69,30701,110023,True
320,31412,110024,True
300,31520,110025,True
551,30901,110028,True
461,30501,110029,True
112,30120,110030,True
160,30223,110031,True
633,30060,110035,True
530,31404,110036,True
264,31792,110038,True
53,30535,110041,True
83,30141,110042,True
294,31419,110043,True
143,31719,110044,True
56,30680,110045,True
77,30655,110046,True
42,30705,110050,True
45,30512,110051,True
417,31901,110064,True
186,31093,110069,True
49,31513,110071,True
315,30606,110074,True
150,30458,110075,True
451,30033,110076,True
481,30308,110078,True
953,30303,110079,True
410,30342,110082,True
458,30309,110083,True
353,30046,110087,True
107,30012,110091,True
94,31023,110092,True
176,31793,110095,True
65,30434,110100,True
60,31620,110101,True
65,31015,110104,True
637,31201,110107,True
47,30824,110111,True
762,30312,110115,True
60,39828,110121,True
335,31602,110122,True
88,31545,110124,True
190,31021,110125,True
87,30474,110128,True
376,31995,110129,True
80,39819,110132,True
382,30106,110143,True
40,31558,110146,True
140,31061,110150,True
39,31069,110153,True
444,30342,110161,True
250,31217,110164,True
376,30274,110165,True
201,30165,110168,True
354,30909,110177,True
108,30134,110184,True
50,30513,110189,True
122,30281,110191,True
200,30078,110192,True
65,39845,110194,True
167,30076,110198,True
100,31909,110200,True
221,30214,110215,True
35,30143,110225,True
84,30058,110226,True
143,30265,110229,True
110,30097,110230,True
25,30265,110233,True
63,31639,110234,True
179,30742,110236,True
52,30533,110237,True
122,30096,110252,True
17,31064,111303,True
25,30650,111304,True
25,31329,111306,True
25,31008,111310,True
25,30467,111312,True
25,39823,111314,True
25,31029,111318,True
25,30233,111319,True
25,30110,111320,True
25,30453,111323,True
25,30546,111324,True
25,30673,111325,True
25,31635,111326,True
25,31791,111328,True
25,31730,111331,True
25,31643,111332,True
25,30439,111334,True
25,31310,111335,True
152,30309,112003,True
72,30308,112004,True
76,30030,112006,True
115,30067,112007,True
40,31405,112011,True
30,30904,112013,True
34,31217,112016,True
58,31210,113029,True
58,30901,113030,True
56,30322,113031,True
50,30265,113032,True
50,31404,113033,True
50,30041,113034,True
50,30253,113035,True
295,30322,113300,True
