bed_count,zip_cod,ccn,medicare_medicaid_eligible
281,19720,084001,True
92,19713,084002,True
120,19720,084003,True
73,19901,084004,True
90,19947,084005,True
0,19718,089800,True
0,19803,089801,True
371,20037,090001,True
479,20060,090003,True
535,20007,090004,True
362,20016,090005,True
184,20032,090008,True
818,20010,090011,True
250,20331,09001,False
291,20422,09002,False
1523,20012,09003,False
60,20002,092002,True
82,20032,092003,True
137,20010,093025,True
323,20010,093300,True
292,20032,094001,True
104,20016,094004,True
0,20010,099800,True
0,20010,099801,True
0,20007,099802,True
0,20037,099803,True
695,32209,100001,True
481,33435,100002,True
1738,32806,100006,True
3220,32803,100007,True
948,33176,100008,True
895,33901,100012,True
109,32170,100014,True
563,32114,100017,True
713,34102,100018,True
514,32901,100019,True
2230,33136,100022,True
204,34452,100023,True
547,32504,100025,True
323,32401,100026,True
208,32796,100028,True
816,33150,100029,True
216,34761,100030,True
480,33701,100032,True
672,33140,100034,True
319,34208,100035,True
1013,33021,100038,True
723,33316,100039,True
528,32204,100040,True
507,34698,100043,True
521,34994,100044,True
164,32720,100045,True
139,33541,100046,True
208,33950,100047,True
55,32565,100048,True
126,33870,100049,True
247,33012,100050,True
122,34711,100051,True
508,33881,100052,True
356,33013,100053,True
65,32578,100054,True
168,34689,100055,True
269,32778,100057,True
385,34474,100062,True
222,34652,100063,True
448,33705,100067,True
362,32117,100068,True
119,33614,100069,True
312,34285,100070,True
244,34601,100071,True
175,32763,100072,True
557,33308,100073,True
1364,33677,100075,True
254,33952,100077,True
700,33136,100079,True
807,33462,100080,True
50,32435,100081,True
330,34748,100084,True
409,33064,100086,True
839,34239,100087,True
1119,32207,100088,True
335,32086,100090,True
298,32955,100092,True
646,32501,100093,True
160,33853,100099,True
660,33708,10009,False
332,32960,100105,True
48,32348,100106,True
88,33936,100107,True
204,33872,100109,True
45,32922,10010,False
404,34741,100110,True
1111,32610,100113,True
146,32250,100117,True
99,32164,100118,True
72,33831,100121,True
110,32539,100122,True
129,32570,100124,True
147,33033,100125,True
307,33707,100126,True
687,33756,100127,True
1041,33606,100128,True
90,33030,10012,False
70,33430,100130,True
407,33180,100131,True
147,33563,100132,True
25,32063,100134,True
772,32308,100135,True
193,33837,100137,True
430,32214,10013,False
62,32034,100140,True
100,32446,100142,True
125,33040,10014,False
167,33040,100150,True
304,32224,100151,True
436,33143,100154,True
91,32055,100156,True
864,33805,100157,True
439,32025,10015,False
221,32771,100161,True
155,34233,100166,True
488,33133,100167,True
400,33486,100168,True
135,32813,10016,False
626,33613,100173,True
49,34265,100175,True
199,33410,100176,True
150,32932,100177,True
454,32216,100179,True
65,32401,10017,False
215,33710,100180,True
146,33143,100181,True
245,33134,100183,True
360,33016,100187,True
289,33063,100189,True
250,32512,10018,False
340,34655,100191,True
25,32304,10019,False
204,33308,100200,True
528,32605,100204,True
384,33609,100206,True
447,33175,100209,True
120,33608,10020,False
120,33525,100211,True
545,34471,100212,True
383,34209,100213,True
145,32978,100217,True
215,32580,10021,False
